"user_id","username","email","user_type","created_at","password_hash"
"2d140e33-c","sa43hil_sh34arma","sahil.sharma92@gmail.com","freelancer","2024-10-16 20:11:05","abc123xyz"
"85d3d266-8","deepika.kumar12","deepika.kumar12@hotmail.com","client","2024-11-05 18:39:45","p@ssw0rd99"
"8bd4ece8-3","rahul_dev_567","rahul.dev567@yahoo.com","freelancer","2024-12-17 10:33:48","securePass890"
"3aa5c8bb-d","mishraVish_21","vishal.mishra21@gmail.com","freelancer","2024-10-18 01:54:46","VishPass123"
"fecef31a-5","tanmay.tech","tanmay.tech@gmail.com","freelancer","2024-11-01 04:24:14","passTanmy99"
"5ab8682f-f","payal_09","payal.09@gmail.com","client","2024-11-23 16:44:59","pass123payal"
"b0b97605-b","aarti_patil11","aarti.patil11@gmail.com","freelancer","2025-01-31 20:23:07","art_pat999"
"fd2c1f0d-2","roshan_x97","roshan.x97@yahoo.com","freelancer","2024-10-04 03:05:02","RoshanSecure97"
"f2c0020c-c","mehul.business","mehul.business@gmail.com","client","2025-01-24 07:19:38","MehBiz876"
"465c16dc-3","shivang.designs","shivang.designs@outlook.com","freelancer","2024-09-16 18:59:39","shivDesigns77"
"0a96538c-7","parth_dev_101","parth.dev101@gmail.com","freelancer","2024-09-18 20:25:08","ParthCode101"
"33a852b0-2","nitin.rajput777","nitin.rajput777@gmail.com","client","2024-10-24 15:18:29","Nitin77Pass"
"06c06e76-2","manisha_codes","manisha.codes@yahoo.com","freelancer","2024-09-21 19:00:51","ManiCode@77"
"ec98e132-3","rohit.malik78","rohit.malik78@outlook.com","client","2024-10-31 08:43:12","RMalikPass99"
"5989dae6-c","anushka.tech","anushka.tech@gmail.com","freelancer","2024-10-15 23:42:25","AnushkaSecure88"
"fdfc17a5-8","tanishq_vfx","tanishq.vfx@gmail.com","freelancer","2024-11-18 17:11:11","VFX_Tan_444"
"61c160d2-f","kavya.art_22","kavya.art22@yahoo.com","freelancer","2025-02-17 18:39:15","KavArtPass77"
"64ef70fd-9","pranav_dev","pranav.dev@gmail.com","client","2024-10-28 07:30:34","Pranav77Pass"
"303ea92f-8","suraj.freelance","suraj.freelance@yahoo.com","freelancer","2024-12-19 15:16:07","SurajFL789"
"00dfcc73-8","madhavi.sharma","madhavi.sharma@gmail.com","client","2025-02-06 19:11:48","MadhaviPass!"
"caed638b-8","sushil_777","sushil_777@gmail.com","freelancer","2024-12-28 01:14:37","Sush777Secure"
"2b7c3a56-8","rahul.music","rahul.music@outlook.com","freelancer","2025-02-14 16:17:14","RahulMusik99"
"8d3ea35c-5","dinesh_roy11","dinesh.roy11@gmail.com","client","2024-09-12 19:26:58","DineshPass111"
"032f21fa-6","saurabh_vfx","saurabh.vfx@gmail.com","freelancer","2024-09-13 09:58:17","SaurVFX777"
"4b5a5164-a","ajay_techie","ajay.techie@hotmail.com","freelancer","2024-09-27 21:13:40","AjayCode007"
"1db815ce-b","ananya_1995","ananya.1995@gmail.com","client","2024-09-26 16:31:44","AnanyaSecure95"
"fb34d04a-5","amit.coder","amit.coder@gmail.com","freelancer","2024-11-11 19:26:17","AmitCoding123"
"e8d099d0-4","rajveer.singh","rajveer.singh@gmail.com","client","2024-12-11 12:23:37","RajSinghPass99"
"52ffc6c7-1","sanjana_uiux","sanjana.uiux@yahoo.com","freelancer","2024-09-22 08:24:11","SanjanaDesign!"
"26495112-1","harish_data","harish.data@outlook.com","freelancer","2024-10-19 22:41:23","HarishSQL999"
"dae484c6-6","neha_web","neha.web@gmail.com","freelancer","2024-10-25 21:16:51","NehaWebCode!"
"0617fb2d-0","yash_dev_91","yash.dev91@yahoo.com","freelancer","2024-10-13 12:01:31","YashC0der99"
"4b3b511e-d","pratik.business","pratik.business@gmail.com","client","2025-01-25 18:17:52","PratikBizz789"
"069a70ab-d","roshni_marketing","roshni.marketing@hotmail.com","client","2025-03-02 03:00:19","RoshMarket#12"
"ee11d252-1","manoj_photog","manoj.photog@gmail.com","freelancer","2025-01-30 06:58:24","ManojCam777"
